experiment,hour,date,device_make,browser,aware
exposed,2,2020-07-05,E5823,Chrome Mobile WebView,False
exposed,16,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,8,2020-07-06,Generic Smartphone,Chrome Mobile,False
control,4,2020-07-08,Samsung SM-A202F,Facebook,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,2,2020-07-10,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,6,2020-07-05,I3312,Chrome Mobile WebView,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,14,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,MRD-LX1,Facebook,False
exposed,13,2020-07-09,Samsung SM-G935F,Facebook,True
exposed,20,2020-07-09,Moto $2,Chrome Mobile WebView,False
exposed,6,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,2,2020-07-06,Samsung SM-J600FN,Chrome Mobile WebView,False
control,16,2020-07-04,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-A105FN,Samsung Internet,False
exposed,8,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,20,2020-07-09,Samsung SM-G930F,Facebook,True
exposed,11,2020-07-04,Samsung SM-G981B,Chrome Mobile WebView,True
exposed,19,2020-07-05,Generic Smartphone,Chrome Mobile,False
exposed,5,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,2,2020-07-05,Generic Smartphone,Chrome Mobile WebView,True
control,15,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-G973F,Facebook,False
control,15,2020-07-03,ELE-L09,Facebook,True
exposed,1,2020-07-09,Generic Smartphone,Chrome Mobile,True
control,18,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,0,2020-07-05,Generic Smartphone,Chrome Mobile WebView,False
exposed,20,2020-07-09,Samsung SM-G950F,Samsung Internet,False
control,19,2020-07-04,Generic Smartphone,Chrome Mobile,True
control,22,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile WebView,True
exposed,6,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,19,2020-07-05,Generic Smartphone,Chrome Mobile,False
exposed,6,2020-07-05,Samsung SM-G960F,Facebook,False
exposed,3,2020-07-07,Samsung SM-N960F,Samsung Internet,False
exposed,15,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,19,2020-07-09,VOG-L09,Facebook,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,21,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,21,2020-07-05,Generic Smartphone,Chrome Mobile,True
control,10,2020-07-05,Samsung SM-G960F,Facebook,True
exposed,5,2020-07-04,Samsung SM-G960F,Chrome Mobile WebView,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,14,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,22,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,8,2020-07-06,Samsung SM-A705FN,Facebook,False
control,15,2020-07-03,Samsung SM-A202F,Chrome Mobile WebView,True
exposed,21,2020-07-08,Samsung SM-A405FN,Chrome Mobile WebView,True
control,15,2020-07-03,LG-$2,Chrome Mobile,True
