experiment,hour,date,device_make,platform_os,aware
exposed,2,2020-07-05,E5823,6,False
exposed,16,2020-07-04,Generic Smartphone,6,True
exposed,8,2020-07-06,Generic Smartphone,6,False
control,4,2020-07-08,Samsung SM-A202F,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,2,2020-07-10,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,6,2020-07-05,I3312,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,14,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,MRD-LX1,6,False
exposed,13,2020-07-09,Samsung SM-G935F,6,True
exposed,20,2020-07-09,Moto $2,6,False
exposed,6,2020-07-05,Generic Smartphone,6,True
exposed,20,2020-07-08,Generic Smartphone,6,False
control,2,2020-07-06,Samsung SM-J600FN,6,False
control,16,2020-07-04,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-A105FN,6,False
exposed,8,2020-07-09,Generic Smartphone,6,False
control,20,2020-07-09,Samsung SM-G930F,6,True
exposed,11,2020-07-04,Samsung SM-G981B,6,True
exposed,19,2020-07-05,Generic Smartphone,6,False
exposed,5,2020-07-10,Generic Smartphone,6,False
exposed,2,2020-07-05,Generic Smartphone,6,True
control,15,2020-07-07,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-G973F,6,False
control,15,2020-07-03,ELE-L09,6,True
exposed,1,2020-07-09,Generic Smartphone,6,True
control,18,2020-07-08,Generic Smartphone,6,True
exposed,0,2020-07-05,Generic Smartphone,6,False
exposed,20,2020-07-09,Samsung SM-G950F,6,False
control,19,2020-07-04,Generic Smartphone,6,True
control,22,2020-07-08,Generic Smartphone,6,False
exposed,20,2020-07-08,Generic Smartphone,6,True
exposed,6,2020-07-08,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
control,19,2020-07-05,Generic Smartphone,6,False
exposed,6,2020-07-05,Samsung SM-G960F,6,False
exposed,3,2020-07-07,Samsung SM-N960F,6,False
exposed,15,2020-07-10,Generic Smartphone,6,True
exposed,20,2020-07-08,Generic Smartphone,6,True
exposed,20,2020-07-08,Generic Smartphone,6,True
exposed,19,2020-07-09,VOG-L09,6,False
control,15,2020-07-03,Generic Smartphone,6,False
exposed,21,2020-07-08,Generic Smartphone,6,True
exposed,21,2020-07-05,Generic Smartphone,6,True
control,10,2020-07-05,Samsung SM-G960F,6,True
exposed,5,2020-07-04,Samsung SM-G960F,6,False
control,15,2020-07-03,Generic Smartphone,6,False
control,14,2020-07-08,Generic Smartphone,6,True
exposed,22,2020-07-08,Generic Smartphone,6,False
control,8,2020-07-06,Samsung SM-A705FN,6,False
control,15,2020-07-03,Samsung SM-A202F,6,True
exposed,21,2020-07-08,Samsung SM-A405FN,6,True
control,15,2020-07-03,LG-$2,6,True
exposed,21,2020-07-08,Generic Smartphone,6,False
exposed,0,2020-07-04,Samsung SM-A320FL,6,True
exposed,3,2020-07-05,Generic Smartphone,6,True
exposed,16,2020-07-10,Generic Smartphone,6,False
exposed,2,2020-07-10,Samsung SM-G950F,6,False
control,15,2020-07-03,Samsung SM-G950F,6,True
control,15,2020-07-03,ANE-LX1,6,False
exposed,16,2020-07-08,Generic Smartphone,6,True
control,2,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,0,2020-07-09,Samsung SM-A705FN,6,False
exposed,14,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,POT-LX1,6,False
exposed,8,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G973F,6,False
exposed,6,2020-07-09,Samsung SM-A505FN,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G960F,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,0,2020-07-05,Generic Smartphone,6,True
control,12,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-05,Generic Smartphone,6,False
exposed,14,2020-07-09,Generic Smartphone,6,True
control,12,2020-07-10,Generic Smartphone,6,False
control,21,2020-07-04,Samsung SM-A705FN,6,False
control,22,2020-07-08,Samsung SM-G950F,6,True
exposed,10,2020-07-03,Generic Smartphone,6,False
control,3,2020-07-07,Generic Smartphone,6,True
control,13,2020-07-10,Samsung SM-G973F,6,True
exposed,8,2020-07-03,Samsung SM-A300FU,6,True
control,2,2020-07-10,Samsung SM-A520F,6,False
control,9,2020-07-10,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-G930F,6,True
exposed,17,2020-07-08,Generic Smartphone,6,False
exposed,9,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
exposed,15,2020-07-08,Generic Smartphone,6,True
control,15,2020-07-09,Generic Smartphone,6,False
exposed,0,2020-07-03,Generic Smartphone,6,False
exposed,17,2020-07-10,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,10,2020-07-05,Generic Smartphone,6,False
exposed,16,2020-07-09,Generic Smartphone,6,False
exposed,12,2020-07-10,Generic Smartphone,6,False
exposed,19,2020-07-09,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-A750FN,6,True
exposed,9,2020-07-04,Generic Smartphone,6,True
control,15,2020-07-03,Samsung SM-J330FN,6,False
exposed,11,2020-07-05,Generic Smartphone,6,False
control,5,2020-07-10,Generic Smartphone,6,True
control,15,2020-07-03,OnePlus ONEPLUS A5000,6,True
control,15,2020-07-03,Generic Smartphone,6,False
control,15,2020-07-03,STF-L09,6,False
exposed,10,2020-07-04,Generic Smartphone,6,False
control,15,2020-07-03,Samsung SM-J330FN,6,True
exposed,6,2020-07-09,I3312,6,False
exposed,5,2020-07-10,Moto $2,6,False
exposed,19,2020-07-09,HTC 10,6,False
exposed,16,2020-07-04,Samsung SM-J610FN,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,1,2020-07-03,Generic Smartphone,6,False
control,19,2020-07-03,iPhone,6,False
control,8,2020-07-07,Generic Smartphone,6,False
exposed,15,2020-07-10,Samsung SM-G900F,6,True
exposed,12,2020-07-03,VOG-L29,6,False
control,15,2020-07-03,XiaoMi Redmi Note 7,6,False
exposed,19,2020-07-05,Generic Smartphone,6,False
control,14,2020-07-09,Generic Smartphone,6,False
control,15,2020-07-03,Generic Smartphone,6,True
exposed,9,2020-07-04,Generic Smartphone,6,False
exposed,0,2020-07-06,POT-LX1,6,True
exposed,7,2020-07-06,Samsung SM-G981B,6,False
exposed,17,2020-07-08,Generic Smartphone,6,True
control,8,2020-07-06,Samsung SM-A520F,6,False
control,10,2020-07-09,Generic Smartphone,6,False
exposed,3,2020-07-06,Generic Smartphone,6,False
control,3,2020-07-06,Nokia undefined$2$3,6,True
exposed,20,2020-07-08,Generic Smartphone,6,False
control,16,2020-07-07,POT-LX1,6,False
exposed,5,2020-07-08,ELE-L29,6,False
control,15,2020-07-03,Huawei Browser,6,False
control,15,2020-07-03,Samsung SM-A202F,6,False
exposed,23,2020-07-07,Generic Smartphone,6,True
control,20,2020-07-08,Generic Smartphone,6,False
exposed,17,2020-07-08,Samsung SM-G955F,6,False
exposed,8,2020-07-05,Generic Smartphone,6,False
exposed,7,2020-07-08,Samsung SM-A920F,6,False
control,16,2020-07-08,Generic Smartphone,6,True
control,15,2020-07-03,Generic Smartphone,6,True
exposed,22,2020-07-05,Samsung SM-A520F,6,False
exposed,16,2020-07-04,Generic Smartphone,6,True
exposed,2,2020-07-09,Samsung SM-G950F,6,True
control,15,2020-07-03,Samsung SM-G950F,6,True
exposed,16,2020-07-04,Samsung SM-G900F,6,False
exposed,13,2020-07-09,Generic Smartphone,6,False
exposed,20,2020-07-07,Samsung SM-A405FN,6,True
