experiment,hour,date_of_week,date_of_month,month,device_make
0,15,4,3,7,12
1,17,3,9,7,60
0,15,4,3,7,83
1,9,0,6,7,70
1,20,3,9,7,12
1,11,5,4,7,63
0,15,4,3,7,65
1,8,0,6,7,35
1,3,1,7,7,89
0,19,3,9,7,12
0,14,2,8,7,12
0,13,5,4,7,12
1,11,6,5,7,12
1,8,0,6,7,12
1,0,4,3,7,12
1,12,4,10,7,12
0,1,1,7,7,12
1,15,4,10,7,12
1,9,4,10,7,12
0,14,2,8,7,41
0,15,4,3,7,12
1,14,5,4,7,66
0,7,1,7,7,45
1,13,4,3,7,12
1,4,3,9,7,41
1,7,4,3,7,12
0,19,5,4,7,12
0,22,2,8,7,63
1,7,5,4,7,28
1,12,6,5,7,12
0,15,4,3,7,45
0,4,6,5,7,12
0,21,2,8,7,12
0,15,4,3,7,12
1,17,2,8,7,66
1,10,3,9,7,12
1,13,3,9,7,12
0,15,4,3,7,75
0,1,0,6,7,83
0,10,3,9,7,65
0,16,3,9,7,90
0,14,1,7,7,12
1,20,2,8,7,12
0,15,4,3,7,12
1,1,0,6,7,12
0,15,4,3,7,12
1,16,5,4,7,12
0,15,4,3,7,12
1,10,5,4,7,12
0,15,4,3,7,12
1,8,2,8,7,55
0,13,3,9,7,65
0,20,2,8,7,12
1,5,4,10,7,66
1,14,1,7,7,12
1,18,2,8,7,12
1,7,4,3,7,93
0,13,2,8,7,12
0,15,4,3,7,75
1,17,1,7,7,72
0,9,3,9,7,30
1,21,6,5,7,12
1,8,4,10,7,12
1,6,0,6,7,12
1,1,0,6,7,46
0,15,4,3,7,12
1,5,4,10,7,12
1,12,6,5,7,16
1,5,6,5,7,63
0,15,4,3,7,21
0,19,3,9,7,65
0,15,4,3,7,12
0,18,2,8,7,12
0,0,0,6,7,100
1,7,5,4,7,12
0,8,3,9,7,12
1,13,5,4,7,12
0,9,5,4,7,12
0,8,5,4,7,12
0,19,2,8,7,12
1,21,2,8,7,45
0,15,4,3,7,78
0,15,4,3,7,68
1,8,4,3,7,12
1,21,3,9,7,107
1,12,6,5,7,12
1,2,4,10,7,12
1,10,0,6,7,12
1,1,3,9,7,12
0,14,5,4,7,12
1,1,4,3,7,12
0,15,4,3,7,12
1,10,5,4,7,58
0,1,3,9,7,18
0,6,3,9,7,12
1,9,3,9,7,12
0,15,4,3,7,12
1,14,3,9,7,12
0,17,6,5,7,12
1,5,2,8,7,33
0,20,5,4,7,12
1,12,1,7,7,12
1,13,3,9,7,62
0,15,4,3,7,12
1,4,0,6,7,59
1,7,4,3,7,12
1,21,2,8,7,63
0,16,2,8,7,61
1,7,1,7,7,12
1,10,4,10,7,24
1,12,5,4,7,12
1,7,3,9,7,65
0,15,4,3,7,12
0,8,1,7,7,78
1,15,2,8,7,41
1,4,0,6,7,12
0,12,5,4,7,25
1,6,2,8,7,12
0,15,4,3,7,12
1,11,4,10,7,12
0,15,4,3,7,12
1,3,4,10,7,12
1,21,1,7,7,34
1,7,0,6,7,73
1,3,4,3,7,70
1,7,4,10,7,12
0,15,4,3,7,52
1,6,5,4,7,63
1,5,0,6,7,100
0,15,4,3,7,70
1,2,4,3,7,12
1,3,4,10,7,12
0,8,1,7,7,64
1,18,3,9,7,12
0,5,4,10,7,12
1,6,3,9,7,12
0,11,5,4,7,12
1,7,0,6,7,12
0,11,2,8,7,88
1,6,5,4,7,66
1,2,5,4,7,1
0,9,5,4,7,12
1,16,5,4,7,62
1,19,6,5,7,46
0,11,5,4,7,63
1,5,4,10,7,23
1,19,2,8,7,12
0,13,1,7,7,12
1,19,2,8,7,12
0,12,5,4,7,12
0,15,4,3,7,12
1,0,3,9,7,52
1,0,6,5,7,12
1,11,4,3,7,12
0,20,3,9,7,61
1,9,3,9,7,12
0,20,3,9,7,31
1,4,0,6,7,12
1,8,4,10,7,70
0,3,1,7,7,79
1,13,4,3,7,26
0,4,5,4,7,12
0,12,3,9,7,12
1,8,5,4,7,12
0,12,6,5,7,12
1,19,3,9,7,40
1,20,1,7,7,89
0,15,4,3,7,12
0,13,5,4,7,12
1,13,6,5,7,12
1,18,2,8,7,67
0,5,3,9,7,65
0,15,4,3,7,12
1,15,6,5,7,63
0,11,6,5,7,12
1,7,6,5,7,70
0,10,2,8,7,12
1,21,2,8,7,12
1,15,5,4,7,12
1,21,2,8,7,63
0,15,4,3,7,12
1,16,2,8,7,12
0,0,1,7,7,12
0,15,4,3,7,72
0,11,3,9,7,83
1,6,5,4,7,12
0,15,4,3,7,69
1,7,6,5,7,36
1,17,3,9,7,70
1,4,3,9,7,12
0,15,4,3,7,98
1,3,6,5,7,12
1,13,2,8,7,12
0,15,4,3,7,43
1,3,3,9,7,12
0,13,4,10,7,69
1,8,6,5,7,86
0,15,4,3,7,12
1,7,4,3,7,12
1,9,1,7,7,12
0,15,4,3,7,12
0,15,4,3,7,44
1,20,3,9,7,52
0,21,2,8,7,7
1,21,3,9,7,12
1,11,4,3,7,12
0,15,4,3,7,12
0,8,6,5,7,57
1,18,2,8,7,83
1,15,5,4,7,12
1,3,1,7,7,69
1,16,2,8,7,41
1,14,5,4,7,2
0,15,4,3,7,87
0,16,1,7,7,12
0,9,1,7,7,12
1,19,1,7,7,12
1,2,4,10,7,12
0,3,6,5,7,12
0,15,4,3,7,49
0,15,4,3,7,65
0,15,4,3,7,65
0,17,5,4,7,12
1,1,3,9,7,12
0,23,2,8,7,99
1,8,0,6,7,12
0,15,1,7,7,12
1,13,3,9,7,25
1,10,0,6,7,17
0,15,4,3,7,39
0,7,5,4,7,68
1,6,0,6,7,12
1,4,4,3,7,12
0,7,0,6,7,12
1,14,2,8,7,12
1,10,5,4,7,12
1,11,4,3,7,46
1,1,4,10,7,15
1,11,6,5,7,12
0,15,4,3,7,12
1,19,2,8,7,12
1,14,4,10,7,89
0,15,4,3,7,69
0,10,1,7,7,12
0,15,4,3,7,12
1,11,3,9,7,12
0,14,4,10,7,96
1,10,4,3,7,83
1,22,2,8,7,65
1,8,5,4,7,12
0,15,4,3,7,12
0,19,2,8,7,65
0,15,4,3,7,12
0,16,5,4,7,12
1,4,3,9,7,70
0,20,5,4,7,12
0,18,3,9,7,12
0,19,2,8,7,40
0,14,5,4,7,12
0,15,4,3,7,12
1,9,4,10,7,65
1,22,2,8,7,12
1,8,3,9,7,12
1,20,2,8,7,46
1,1,4,3,7,12
0,2,0,6,7,12
1,15,2,8,7,99
0,15,4,3,7,53
1,11,3,9,7,12
1,10,5,4,7,12
0,18,2,8,7,12
1,8,4,3,7,12
